Model,Loss,Flat,Const.,Obj.,Nat.,Sky,Hum.,Veh.,mIoU
unet,Focal,0.82,0.59,0.52,0.72,0.92,0.52,0.41,0.57
unet,Focal,90.12,82.75,51.38,87.32,92.03,61.54,78.07,56.96
unet,Focal,97.81,87.97,54.13,90.52,92.03,69.36,86.04,56.96
unet,Focal,97.81,87.97,54.13,90.52,92.03,69.36,86.04,56.96
